"11/29/2019, 10:26:58"
Center frequency,20.0971
""
freq,cplx data,fft centered
-107846.56931386277,(14.076233-11.434555j),1.7309748
-107796.55931186237,(14.543533-10.86235j),1.1902037
-107746.54930986198,(12.998581-9.613037j),2.437877
-107696.53930786157,(13.67569-13.7043j),1.9673716
-107646.52930586117,(10.128021-10.814667j),2.310031
-107596.51930386077,(12.664795-7.8868866j),0.65677494
-107546.50930186038,(14.867783-12.121201j),1.6803075
-107496.49929985998,(14.419556-10.995865j),1.6497524
-107446.48929785957,(14.925003-10.86235j),1.733079
-107396.47929585917,(16.784668-11.472702j),1.6702543
-107346.46929385877,(14.333725-11.777878j),1.5399783
-107296.45929185837,(14.848709-12.407303j),1.2150549
-107246.44928985798,(16.71791-11.339188j),3.1434085
-107196.43928785757,(13.017654-12.769699j),0.42921972
-107146.42928585717,(15.306473-12.807846j),2.9029777
-107096.41928385677,(13.9808655-11.100769j),2.3090258
-107046.40928185638,(15.048981-10.919571j),0.77903855
-106996.39927985598,(16.27922-8.659363j),1.4107968
-106946.38927785557,(12.464523-10.938644j),2.5027149
-106896.37927585517,(13.341904-12.159348j),1.3476082
-106846.36927385477,(14.514923-10.070801j),3.6294293
-106796.35927185437,(13.751984-11.997223j),0.7516596
-106746.34926985396,(14.057159-11.062622j),1.0052251
-106696.33926785357,(11.959076-9.54628j),2.3488314
-106646.32926585317,(13.885498-11.606216j),2.7470653
-106596.31926385277,(15.678406-9.889603j),2.2478607
-106546.30926185237,(12.82692-10.557175j),1.0953009
-106496.29925985198,(13.656616-10.957718j),1.5108911
-106446.28925785157,(13.6089325-11.177063j),2.1634715
-106396.27925585117,(14.743805-12.321472j),1.4335736
-106346.26925385077,(16.66069-10.108948j),1.9820073
-106296.25925185037,(14.591217-10.681152j),1.0686204
-106246.24924984996,(14.49585-9.422302j),3.4874318
-106196.23924784957,(14.009476-11.034012j),1.3516922
-106146.22924584917,(13.628006-11.62529j),2.0228753
-106096.21924384877,(12.626648-10.576248j),0.6891429
-106046.20924184837,(13.456345-11.968613j),1.690662
-105996.19923984798,(13.694763-10.528564j),2.0219533
-105946.18923784757,(10.929108-11.644363j),1.5971856
-105896.17923584717,(11.348724-11.24382j),1.4132991
-105846.16923384677,(9.4127655-10.251999j),2.19345
-105796.15923184637,(14.400482-11.234283j),2.64807
-105746.14922984596,(14.877319-10.633469j),1.0258731
-105696.13922784558,(14.066696-11.568069j),0.70580226
-105646.12922584517,(13.799667-11.873245j),1.347126
-105596.11922384477,(11.482239-10.023117j),1.6668557
-105546.10922184437,(15.153885-10.7860565j),1.6099479
-105496.09921984398,(11.386871-10.890961j),1.8243725
-105446.08921784358,(13.885498-10.461807j),1.8391094
-105396.07921584317,(14.133453-11.548996j),1.3588995
-105346.06921384277,(12.283325-10.080338j),1.2868378
-105296.05921184237,(15.201569-10.766983j),0.6545177
-105246.04920984196,(12.054443-11.453629j),1.922435
-105196.03920784156,(12.111664-9.775162j),2.720088
-105146.02920584117,(13.151169-9.975433j),0.798412
-105096.01920384077,(13.694763-10.414124j),1.9519242
-105046.00920184037,(10.871887-11.816025j),1.6472045
-104995.99919983996,(10.652542-11.358261j),2.27524
-104945.98919783958,(13.933182-10.004044j),0.92878217
-104895.97919583917,(11.024475-10.156631j),1.4698128
-104845.96919383877,(11.777878-9.384155j),0.32040316
-104795.95919183837,(12.91275-12.922287j),1.2278031
-104745.94918983796,(13.227463-11.730194j),1.0364159
-104695.93918783756,(13.952255-8.716583j),2.723278
-104645.92918583717,(10.347366-11.367798j),3.74539
-104595.91918383677,(12.130737-10.442734j),2.115292
-104545.90918183637,(14.591217-9.155273j),3.3531172
-104495.89917983596,(12.760162-10.948181j),3.5572588
-104445.88917783558,(12.378693-12.960434j),1.2969953
-104395.87917583517,(12.750626-9.832382j),1.5834601
-104345.86917383477,(12.111664-8.296967j),1.4089504
-104295.85917183437,(10.671616-10.986328j),1.7483072
-104245.84916983396,(12.931824-9.555817j),1.0394915
-104195.83916783356,(15.611649-8.478165j),0.9904574
-104145.82916583317,(13.027191-11.291504j),0.43274528
-104095.81916383277,(11.224747-11.949539j),2.6534188
-104045.80916183237,(13.523102-10.890961j),2.560404
-103995.79915983196,(11.711121-10.604858j),2.8553214
-103945.78915783158,(11.987686-10.74791j),1.8345517
-103895.77915583117,(12.159348-10.099411j),1.6758249
-103845.76915383077,(11.415482-8.144379j),0.25239065
-103795.75915183037,(14.152527-9.117126j),1.3385447
-103745.74914982996,(11.892319-9.4127655j),0.85393786
-103695.73914782956,(10.919571-8.239746j),1.6492038
-103645.72914582916,(11.463165-10.986328j),2.108133
-103595.71914382877,(11.205673-12.378693j),2.50445
-103545.70914182837,(11.415482-9.613037j),3.7420487
-103495.69913982796,(14.14299-10.089874j),3.296599
-103445.68913782756,(12.159348-10.251999j),2.4755647
-103395.67913582717,(11.444092-9.1362j),2.7499995
-103345.66913382677,(12.645721-11.329651j),2.2150145
-103295.65913182637,(12.50267-9.489059j),0.9370204
-103245.64912982596,(14.715195-11.358261j),1.0885321
-103195.63912782556,(13.618469-9.870529j),0.80449075
-103145.62912582516,(15.182495-7.4386597j),1.321392
-103095.61912382477,(11.072159-10.728836j),1.9958005
-103045.60912182437,(12.264252-6.5898895j),1.5003955
-102995.59911982396,(15.029907-10.643005j),0.7189233
-102945.58911782356,(10.633469-11.396408j),2.6744092
-102895.57911582317,(10.814667-6.4849854j),3.2102325
-102845.56911382277,(10.719299-9.584427j),1.7461199
-102795.55911182237,(10.681152-9.050369j),0.8574592
-102745.54910982196,(9.479523-9.813309j),1.9208986
-102695.53910782156,(12.731552-11.8637085j),1.2055496
-102645.52910582116,(11.835098-11.501312j),3.052769
-102595.51910382076,(9.117126-8.440018j),0.63536114
-102545.50910182037,(14.123917-8.392334j),0.8438363
-102495.49909981996,(11.234283-10.4522705j),0.94058365
-102445.48909781956,(11.615753-8.239746j),3.4898367
-102395.47909581917,(12.664795-8.497238j),1.1331633
-102345.46909381877,(10.852814-8.75473j),2.1944888
-102295.45909181837,(15.087128-11.091232j),2.92578
-102245.44908981796,(11.587143-8.945465j),1.2893907
-102195.43908781756,(11.129379-7.6007843j),1.7929806
-102145.42908581716,(11.978149-8.449554j),1.6562729
-102095.41908381676,(9.326935-8.75473j),0.17859502
-102045.40908181637,(10.623932-10.4522705j),2.8097944
-101995.39907981596,(9.765625-6.9713593j),1.2251487
-101945.38907781556,(10.128021-9.832382j),1.2536732
-101895.37907581516,(12.2356415-10.261536j),0.65439093
-101845.36907381477,(12.41684-9.174347j),0.93025804
-101795.35907181437,(9.727478-7.648468j),2.8727286
-101745.34906981396,(10.643005-8.69751j),0.19436486
-101695.33906781356,(13.103485-9.346008j),1.3317089
-101645.32906581316,(13.751984-8.420944j),1.6597881
-101595.31906381276,(12.645721-11.167526j),2.5651314
-101545.30906181237,(12.283325-9.126663j),3.0061479
-101495.29905981196,(13.751984-8.993149j),0.8340263
-101445.28905781156,(10.910034-8.78334j),1.3073069
-101395.27905581116,(10.576248-10.4522705j),1.5656966
-101345.26905381077,(10.919571-8.72612j),0.5927622
-101295.25905181037,(9.57489-9.298325j),1.5103216
-101245.24904980997,(8.955002-10.347366j),1.1294005
-101195.23904780956,(10.671616-7.49588j),1.3120617
-101145.22904580916,(11.777878-8.859634j),2.0961678
-101095.21904380876,(11.987686-8.602142j),2.0189583
-101045.20904180835,(11.587143-8.115768j),1.8184382
-100995.19903980797,(11.329651-7.867813j),3.4887247
-100945.18903780756,(10.347366-8.75473j),0.6994381
-100895.17903580716,(8.28743-9.508133j),1.1239111
-100845.16903380677,(10.957718-8.802414j),2.678015
-100795.15903180637,(9.117126-9.660721j),0.33764997
-100745.14902980597,(9.737015-9.670258j),1.003254
-100695.13902780556,(11.825562-8.69751j),0.51207465
-100645.12902580516,(10.318756-8.573532j),3.0682118
-100595.11902380476,(10.375977-8.306503j),2.3955383
-100545.10902180435,(9.737015-9.0408325j),1.752133
-100495.09901980397,(9.92775-7.90596j),3.0115633
-100445.08901780356,(10.766983-8.25882j),1.8594955
-100395.07901580316,(10.271072-8.125305j),2.3189452
-100345.06901380276,(9.965897-8.983612j),2.3200545
-100295.05901180237,(9.803772-9.51767j),1.4206518
-100245.04900980197,(9.527206-8.354187j),3.2040164
-100195.03900780156,(11.568069-10.643005j),3.441246
-100145.02900580116,(12.521744-9.183884j),1.9289026
-100095.01900380076,(10.204315-9.393692j),2.9471998
-100045.00900180035,(11.072159-8.497238j),0.61357254
-99994.99899979997,(11.472702-6.3610077j),1.6513801
-99944.98899779956,(7.0858-8.058548j),1.7971963
-99894.97899579916,(10.099411-8.69751j),1.3671664
-99844.96899379876,(10.089874-7.5626373j),1.8356582
-99794.95899179837,(9.851456-7.6961517j),0.5183983
-99744.94898979797,(11.501312-10.8242035j),1.0393782
-99694.93898779756,(9.803772-9.813309j),1.6482818
-99644.92898579716,(11.062622-8.544922j),0.239128
-99594.91898379676,(8.296967-7.9250336j),0.70301795
-99544.90898179635,(10.194778-7.0667267j),0.13036333
-99494.89897979595,(10.986328-8.7451935j),0.58185005
